text,is_rumor,user.handle,created
@AntonioFrench maybe all of these people should hold judgement until the whole story is told,0,smedlock21,1407685577000.0
"@AntonioFrench it's tragic, for sure, but don't condemn anyone until the whole story is known",0,smedlock21,1407685645000.0
“@AntonioFrench: The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/nlRkfawqyA”,0,getgln,1407727446000.0
Police have brought out the large gear in #Ferguson. http://t.co/2gxUzOvwfy,0,AntonioFrench,1407626709000.0
Police have brought out the large gear in #Ferguson. http://t.co/2gxUzOvwfy,0,AntonioFrench,1407626709000.0
"@AntonioFrench Are you there, and is that your picture? Thanks.",0,PDBeth,1407626910000.0
WHERE'S THE MILITIA? #tcot RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/mEprStCf9S,0,TheBrasshole,1407627013000.0
“Showing yal... Yal ain't doing shit 😂😂😂 RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/17NPJ93qKY”,0,JamiahAustin,1407627098000.0
This after cops killed unarmed youth. RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/Of0ILCeEPE,0,onekade,1407627303000.0
@AntonioFrench @hfdavis like why does a place like Ferguson even have this?!,0,Thalookbook,1407627312000.0
@onekade @GoddamnedBear @AntonioFrench where is this?,0,AnarchAlchemy,1407627363000.0
@onekade @AntonioFrench THIS IS RIDICULOUS,0,ErinACorbett,1407627371000.0
@AnarchAlchemy St. Louis,0,onekade,1407627414000.0
@onekade @Samoth12 @AntonioFrench Is this on now?,0,nightfever,1407627421000.0
“@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/pxl9XkmZzD”Damn,0,_NieceyNe,1407627433000.0
“@_NieceyNe: “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/M8rMFnN61n”Damn”game over,0,kammBlair,1407627452000.0
"How is this remotely necessary? ""@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/5FhxSI0Xia”",0,AshaDarlingg,1407627458000.0
@onekade armored personnel carriers for a ball game security? LOL!,0,AnarchAlchemy,1407627535000.0
Getting ready to kill more ppl... RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/E9IUHuuV08,0,_LuckiestCharm,1407627706000.0
wowowowow. “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/EZu4CedcR6”,0,muhriyahhh_,1407627803000.0
@onekade @AntonioFrench The one on top is clearly riding it into battle.,0,sabzbrach,1407627853000.0
cc: @NAACP. “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/EZu4CedcR6”,0,muhriyahhh_,1407627961000.0
@AntonioFrench,0,Jamie62477,1407628299000.0
@onekade @JGili74 @AntonioFrench Didn't see one of those at Bundy Ranch,0,EthanObama,1407628434000.0
Because we are enemy combatants “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/QqFUsbYxeQ”,0,WhoGotFrance,1407628542000.0
Oooooweeee RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/xWO0TZjeAo,0,The_April_Fool,1407628572000.0
“@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/KQ6A9Kz5qE”&lt;~WOW!,0,VadaBee,1407629066000.0
@WhoGotFrance @theonlyadult @AntonioFrench Couldn't wait to use their surplus war equipment.  I'm so sick of this.,0,alliemorgiemom,1407629280000.0
To kill more innocent kids? RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/DTt01W34j7,0,DreaaaLove,1407629450000.0
"@onekade @jofromgreylynn @AntonioFrench When they say they need those vehicles 'for terrorism', maybe we missed who is meant to be terrified",0,NedGilmore,1407629472000.0
Martial law. “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/6GnSTUpfE7”,0,79Au_En,1407629568000.0
4 star wanted level “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/D47ssrrKK5”,0,SAGordonM,1407629661000.0
"@NedGilmore @onekade @AntonioFrench the militarisation of the police, changes their attitude to protecting the citizens to protection FROM..",0,jofromgreylynn,1407629833000.0
@AntonioFrench http://t.co/qbCprjbh6A,0,bells110,1407630253000.0
@AntonioFrench @ranman09 They know they're in trouble....,0,calatayud7,1407631886000.0
@onekade @AntonioFrench an amazing disproportionate response to a community violated by THEIR violence.,0,DeliaChristina,1407632752000.0
@onekade @70torinoman @AntonioFrench Where are cops slaughtering people this time?!,0,JeffSciarappa,1407633279000.0
@AntonioFrench @Michelle9647 Funny how they didn't bring out this hardware when the T-Partiers where protecting the Bundy Ranch.,0,Eldomiche,1407633545000.0
Is this necessary or am I missing something.. “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/3V0CedNnWo”,0,YaassBish,1407633557000.0
@JeffSciarappa @onekade @AntonioFrench Missouri,0,70torinoman,1407634009000.0
@JeffSciarappa STL,0,onekade,1407636265000.0
"@AntonioFrench jesus fucking christ, america",0,MikeESchmee,1407636870000.0
"@70torinoman @onekade @AntonioFrench Thanks. Unfriggin believable. No, it's believable. Unfortunate, but believable.",0,JeffSciarappa,1407638241000.0
@onekade Thanks.,0,JeffSciarappa,1407638275000.0
@JeffSciarappa sure,0,onekade,1407638283000.0
@AntonioFrench @michaelterry337 Checked out # No info. Where IS #Ferguson ? Looks like US??,0,Whits1bone,1407638388000.0
.@AntonioFrench @michaelterry337 Some places take unpaid parking tickets a little too serious!!! Does Barney Fife even have a real badge? ;-,0,kleytoncooper,1407638613000.0
@Thalookbook @AntonioFrench @hfdavis You can thank DHS (homeland security) for that. They have militarized a lot of police forces.,0,PhoenixCE,1407638650000.0
@AntonioFrench wow!!!,0,Donnajcherold,1407638787000.0
@AntonioFrench n I don't see a black cop a anywhere! Least not in this photo! #FergusonShooting,0,Donnajcherold,1407638837000.0
"@AntonioFrench #Ferguson is a town of 22K people. Why would police there even have ""large gear""?",0,elsbet,1407639498000.0
“@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/v25JxgQvPr” We have the standing army the founders feared.,0,jronc,1407644901000.0
@onekade @shar76 @AntonioFrench Why do they need large gear? No wonder people in #Ferguson are fearful. Police are not rational.,0,Ssimms777,1407648786000.0
"@AntonioFrench @doingitwrong gah, I rode my bike there when I was 10, can't imagine paramilitary police presence.",0,gerwitz,1407678647000.0
@onekade @WeRAllAnonymous @AntonioFrench Because they know what they did was a crime and that was #murdering an innocent #man #ACAB,0,An0n_Truth,1407685406000.0
Highly Unnecessary “@AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/z9bnqedzvO”,0,Forever_JetLife,1407685964000.0
@An0n_Truth @onekade @AntonioFrench What is truly disgusting is that they will get away with it but only after getting a paid vacation #ACAB,0,WeRAllAnonymous,1407686083000.0
@Thalookbook @AntonioFrench @hfdavis EXACTLY!! ... these assault vehicles are showing up in small towns across the US. #BoredCops,0,Knobstradamus,1407712799000.0
"@AntonioFrench Absurd response by police almost as if they don't care about the feelings of the community... ""let's just be bigger assholes""",0,Knobstradamus,1407712889000.0
"@AntonioFrench @PopResistance Are they ""preparing"" for a riot or hoping for one?",0,JamesEFaubel,1407777490000.0
"Omg Wow ""@FLOCKAfierce: WOW RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/4t4RRtNWRk""",0,Cassie_Xtassy,1407627055000.0
@Cassie_Xtassy @mspamie2u @FLOCKAfierce @AntonioFrench Just stay in your house. But damn they'll just drive through your walls. I wonder,0,warskull_,1407627725000.0
@Cassie_Xtassy @mspamie2u @FLOCKAfierce @AntonioFrench If there's even a point living in this country anymore.,0,warskull_,1407627756000.0
@Cassie_Xtassy @BlackCognizance @FLOCKAfierce @AntonioFrench look like the build up to an impending battle...against a well trained enemy,0,The_ChairmanBPP,1407628415000.0
"@Cassie_Xtassy @FLOCKAfierce @AntonioFrench What is it with cops and armored cars? Media are already calling them (incorrectly) ""Tanks.""",0,bleusharque,1407629728000.0
"When you see citizens as enemies... RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/xTwwfXC8zy""",0,JChiron18,1407627494000.0
"When you see citizens as enemies... RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/xTwwfXC8zy""",0,JChiron18,1407627494000.0
@JChiron18 @ToriNicksWho @AntonioFrench they always waiting for the moment,0,MopeyDeath,1407628731000.0
@JChiron18 @AntonioFrench They are ready to kill more ppl. You see what is happening in #Gaza? White supremacy dominance all over the world.,0,3ChicsPolitico,1407631266000.0
Only reason 20k town has military equipment of this caliber to use against own citizens? Bogus war on terror spending @JChiron18 @errollouis,0,jooltman,1407631365000.0
@JChiron18 @OwlsAsylum @AntonioFrench martial law like shit,0,RapRich_Porter,1407631408000.0
"@JChiron18 @3ChicsPolitico @AntonioFrench To set silently by &amp; accept our loc police est'blshg themselves as a military op; Lord, HelpUsAll.",0,ranman09,1407631603000.0
@JChiron18 @3ChicsPolitico @AntonioFrench a couple a weeks ago Bill Maher said the same thing on his show. Why do police needs armed,0,brownsugar7878,1407631788000.0
".@JChiron18 @AntonioFrench ""protect and serve"" is not what theyre doing in #Ferguson",0,Dylan_66,1407872037000.0
Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.,0,JChiron18,1407627782000.0
Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.,0,JChiron18,1407627782000.0
“@JChiron18: Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.”,0,sarraxoabrham,1407628248000.0
“@JChiron18: Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.”,0,selah1914,1407633891000.0
Here’s to hoping what’s happening in STL right now doesn’t get worse. #Ferguson hashtag not looking good right now. http://t.co/0fhU5EopGa,0,BradWillis,1407627902000.0
Here’s to hoping what’s happening in STL right now doesn’t get worse. #Ferguson hashtag not looking good right now. http://t.co/0fhU5EopGa,0,BradWillis,1407627902000.0
@BradWillis Yikes.,0,TimJohnsonMN,1407629525000.0
@BradWillis A young man was murdered.  What is worse than that?,0,Mr_JDTraynor,1407632921000.0
".@BradWillis I hope by this tweet you meant ""I hope more cops don't get twitchy to gun down unarmed kids in the street today."" #Ferguson",0,Fed_up_Fed,1407635175000.0
@Fed_up_Fed @BradWillis #PoliceState,0,BetNot,1407635552000.0
It will. “@BradWillis: Here’s to hoping what’s happening in STL right now doesn’t get worse. #Ferguson hashtag not looking good right now.”,0,Samuel_Hudson,1407641187000.0
.@BradWillis you think the problem in #Ferguson is that a grieving father made a placard?,0,wordgeeksarah,1407659572000.0
@wordgeeksarah no...,0,BradWillis,1407681103000.0
@BradWillis it did,0,Estleton12,1407728192000.0
"When you are black &amp; the victim of a crime, people will dig up something you did in kindergarten to justify what happened to you. #Ferguson",0,jay_slypig,1407628114000.0
"When you are black &amp; the victim of a crime, people will dig up something you did in kindergarten to justify what happened to you. #Ferguson",0,jay_slypig,1407628114000.0
@jay_slypig You are so right,0,PostRacialMyAss,1407629019000.0
"@jay_slypig can't justify that, kid had NO weapons! Smh! Crazy!",0,bumblebeethekid,1407629645000.0
@jay_slypig @omaleak worst experience I've ever had with the police was in Ferguson. They're fucking pathetic there. Praying for justice.,0,Icampintense,1407634310000.0
@twsofa @jay_slypig welcome to ameriKKKa - republiKKKcans would have u believe there is a #WarOnWhites only thing I see is white privilege,0,dulcedulcevida,1407638460000.0
Patrol cars still flood the streets in #ferguson more than 6 hours after police officer shot teenager @ksdknews http://t.co/fCCGAfIRbG,0,ElizabethKSDK,1407628395000.0
@ElizabethKSDK thank you,0,vdogg9,1407628818000.0
"@ElizabethKSDK @ksdknews At least THOSE police know there will be a consequence 4 killing someone. Many places, seem 2 face no consequence..",0,LauraNo,1407630902000.0
@ElizabethKSDK @Floodette07 @ksdknews what are they looking for more kids to shoot?,0,CosmodemonicPMC,1407638405000.0
"America doesn't think we're human, the world doesn't think we're human, and cops don't get punished for killing us for no reason. #ferguson",0,LewisGD,1407628418000.0
@LewisGD @GinaLuciana this is all by design capitalism cannot exist without poor...class n race go hand in hand; broadcast white power moves,0,sportsfan1205,1407638300000.0
"@sportsfan1205 @LewisGD Until white people recognize this, speak out &amp; take action en masse, we are all complicit &amp; share blame w/murderers.",0,GinaLuciana,1407639086000.0
@GinaLuciana @LewisGD white people stand 2 lose 2 much stating the obvious blacks and whites were slaves;privilege was created 2 break unity,0,sportsfan1205,1407639242000.0
@GinaLuciana @LewisGD thats y i am saying these are broadcast power moves find footage of black officers killing white teens u wont find it,0,sportsfan1205,1407639296000.0
@GinaLuciana @LewisGD find legislation written for the benefit of black people and the destruction of white people ever in this country,0,sportsfan1205,1407639334000.0
@sportsfan1205 @LewisGD None. Zip. Laws not made to protect or benefit any PoC. Land of the free for whites only. I want change.,0,GinaLuciana,1407639483000.0
@GinaLuciana @LewisGD i commend you and your thoughts i really do but power and reality say that cannot happen people too in love with $,0,sportsfan1205,1407639627000.0
@GinaLuciana @LewisGD and power will trump the $ everytime,0,sportsfan1205,1407639667000.0
"@sportsfan1205 @LewisGD I agree. I know this is true, but I don't want it to continue without a fight. At least on my own part.",0,GinaLuciana,1407639742000.0
"@sportsfan1205 @LewisGD I hate that I look at my son and feel some relief that he ""passes"". It's terrible.",0,GinaLuciana,1407640052000.0
@GinaLuciana @LewisGD imagine a giant 30 ft tall weighing 2 tons he cant b bombed he cant be shot down cant be poisoned he is wht supremacy,0,sportsfan1205,1407640951000.0
@LewisGD I think you're human.  I am white.  I am in tears.,0,emissouri,1407641510000.0
@LewisGD This is the #NWO implementation strategy to incite a race war to initiate a #PoliceState. #worlddomination #worldwide #genocide,0,Libranluv59,1407643381000.0
@LewisGD this is so sad. I'm so sorry for what is happening right now. If I knew a way to fix this crap it would never happen again.,0,MoonAllan,1407645501000.0
"@LewisGD Try being an educated Native American.... 
My prayers to his mama and grandmother. Comfort and Condolences #Ferguson",0,MaryMoTastic,1407677796000.0
@LewisGD @USDroneWarDept It saddens me greatly you feel that way but I understand it. Let's hope justice gets served finally. U r human.,0,logiclust,1407686091000.0
"@LewisGD but at the same time, sometimes we don't even treat each other like we're human.",0,BitterSweetJae,1407726214000.0
@LewisGD Many don't act human or value life sadly,0,Estleton12,1407728137000.0
".@Estleton12 not the case, keep your bullshit to yourself.",0,LewisGD,1407728200000.0
"@LewisGD The world doesn't know you exist, sir. Get over yourself.",0,arbgeist,1407809353000.0
.@ArbtheRipper I give about -5000 fucks about your opinion.,0,LewisGD,1407809515000.0
@LewisGD I wonder if the world cares about your opinion. The world. Lol.,0,arbgeist,1407809570000.0
"@ArbtheRipper you must be a poor reader, now run along.",0,LewisGD,1407809792000.0
@LewisGD I'm part of the world. Don't you want me to care about you?,0,arbgeist,1407809829000.0
".@ArbtheRipper you don't intend to, you've made that perfectly clear. Moreover, you're of no import. But do go on.",0,LewisGD,1407809948000.0
"@LewisGD Like I said before, the world doesn't give a shit about you. No import.",0,arbgeist,1407810071000.0
"@ArbtheRipper you sure seem to though, peculiar.",0,LewisGD,1407810233000.0
"Another day, another shooting of an unarmed black teenager in America by authority figures. #STL #Ferguson",0,traciethoms,1407628559000.0
"Another day, another shooting of an unarmed black teenager in America by authority figures. #STL #Ferguson",0,traciethoms,1407628559000.0
@traciethoms what happened now?? This world is loosing it's Damn Mind!!!,0,modendrich1978,1407628607000.0
@traciethoms when are we going to take a stand and no longer accept these types of injustices?,0,davidsingletary,1407628666000.0
@traciethoms police are supposed to protect and help citizens. Not kill innocent people. What the hell?!,0,gollumzprecious,1407628931000.0
@davidsingletary I am SO tired. So tired of all of it.,0,traciethoms,1407628943000.0
@traciethoms just sad. Really feels like warfare against our youth.,0,TrellsWorld,1407629063000.0
@traciethoms it's really sad because it happens all the time,0,JazzStewart,1407629298000.0
@traciethoms and it just keeps happening over time,0,JazzStewart,1407629335000.0
@traciethoms change is coming...it has to,0,davidsingletary,1407629655000.0
@traciethoms breaks my heart that any child dies. There needs to be some major reform asap!!!,0,modendrich1978,1407631361000.0
"They keep killing us ""@traciethoms: Another day, another shooting of an unarmed black teenager in America by authority figures. #Ferguson”",0,AtoEssandoh,1407634659000.0
"@traciethoms @kasieveggies While I'm disgusted, I'm not even shocked. That's the worst part. This shit happens too much.",0,OhhCecilia12,1407635627000.0
@AtoEssandoh @traciethoms but some one love it =],0,xochilt_escobar,1407638145000.0
@traciethoms . . . authority figures whose Constitutional / Financial bosses are Eric Holder (DOJ) and President Obama (Executive Branch).,0,ocblues,1407649538000.0
People are now matching to the #Ferguson Police Dept headquarters. http://t.co/4KEsby2ZPj,0,AntonioFrench,1407629280000.0
People are now matching to the #Ferguson Police Dept headquarters. http://t.co/4KEsby2ZPj,0,AntonioFrench,1407629280000.0
“@AntonioFrench: People are now matching to the #Ferguson Police Dept headquarters. http://t.co/v5WBfic1Q5”,0,occupyphoenix,1407629551000.0
"@AntonioFrench Honestly, I hope they tear some shit up. That's the only way we'll get their attention. Civil disobedience.",0,LoveCourtK,1407630502000.0
"#MikeBrown RT ""@AntonioFrench: People are now matching to the #Ferguson Police Dept headquarters. http://t.co/3SsYJ0VEi2”",0,SummaQueLaude,1407631077000.0
RT “@AntonioFrench: People are now marching  to the #Ferguson Police Dept headquarters. http://t.co/XTDxZO6veI”,0,BougieLa,1407631088000.0
Good RT @SheSeauxSaditty RT @AntonioFrench People are now matching to the #Ferguson Police Dept headquarters. http://t.co/dPh9dUwIoK,0,Darling_Cece,1407631100000.0
"Sharpton coming, it won't last RT“@AntonioFrench: People are now matching to the #Ferguson Police Dept headquarters. http://t.co/05ZTwZArxK”",0,FaultSoTrill,1407631755000.0
I'm scared for these people.  They will use law enforcement to try and kill them all. @BougieLa @blurbette @AntonioFrench,0,JanvierNoir,1407631872000.0
“@AntonioFrench: People are now matching to the #Ferguson Police Dept headquarters. http://t.co/uuoKSbSzMa”,0,CaseyJAldridge,1407633238000.0
@AntonioFrench May God be with each and everyone of them Blessed in the name of justice. Right on~,0,SunBlossomKente,1407687082000.0
Being Black in this country is dangerous business. #Ferguson,0,AngryBlackLady,1407629392000.0
Being Black in this country is dangerous business. #Ferguson,0,AngryBlackLady,1407629392000.0
"@AngryBlackLady *favorites out of frustration*

#thosemomentswhenLikejustdoesntcutit",0,dvnix,1407629441000.0
@AngryBlackLady Truth.,0,oneofthe99,1407629685000.0
@AngryBlackLady http://t.co/uUILWJq2fJ,0,bells110,1407630572000.0
@AngryBlackLady I experience mistreatment daily from a myriad of white sales people who request ID &amp; I give them my press pass or univ. ID.,0,SweetTwink73,1407631047000.0
"@AngryBlackLady @TheObamaDiary It's literally a death sentence.  First it was driving while black, now it's walking while black #Ferguson",0,kymiller00,1407632217000.0
@AngryBlackLady @HGGolightly So true. But it just should NOT be so! WTF?,0,Ithinkitscatchy,1407632794000.0
"Yup. And for everyone else not straight, male and white. RT @AngryBlackLady: Being Black in this country is dangerous business. #Ferguson",0,Exit_The_Void,1407633925000.0
"@AngryBlackLady Still a dangerous business, sadly.",0,marylynne1,1407638363000.0
@AngryBlackLady This is the #NWO implementation strategy 2 incite a race war 2 initiate a #PoliceState.#worlddomination #worldwide #genocide,0,Libranluv59,1407643183000.0
@AngryBlackLady My psych professor wanted the class to pull stunts in public &amp; note the reaction. I told him I wasn't catching bullets.,0,renaissanceeast,1407649641000.0
@AngryBlackLady Need I even mention the prof's race?,0,renaissanceeast,1407649697000.0
@renaissanceeast nope! That is ridiculous.,0,AngryBlackLady,1407649831000.0
@AngryBlackLady esp if you are a Blk boy or male...,0,PrettyFootWoman,1407678616000.0
@AngryBlackLady I meant...esp if you area blk boy or man,0,PrettyFootWoman,1407678650000.0
@AngryBlackLady Ain't so much just a black thing anymore for a Long Time. I've BEEN to the prisons &amp; its quite equal'd out for us po folks.,0,RobertDFlesher,1407736702000.0
People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/ROvs3mXYMM,0,AntonioFrench,1407629918000.0
People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/ROvs3mXYMM,0,AntonioFrench,1407629918000.0
@AntonioFrench Are there any good news resources to follow what's happening? #Ferguson,0,smithsqrl,1407630045000.0
@AntonioFrench: People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/7ZJ3sfkf6n,0,KeshRue,1407630455000.0
@AntonioFrench @shugnice It isn't a real march until the marchers are ARMED...,0,BWorthingtonIII,1407630883000.0
@AntonioFrench @PrettyNikki33,0,sebastianocorey,1407631176000.0
@AntonioFrench what's the plan when they get there?! ...anyword?!,0,rahviance,1407631274000.0
@AntonioFrench @AshleyShyMiller this is where I live Ashley.....like 10 minutes away in st.louis.  my husband works one minute away,0,Sassymiss926,1407631946000.0
@AntonioFrench @db_1974 if Indig pple of Australia do not stand up to fight against disempowerment. We can expect things to stay the same,0,SeanGordon5,1407632460000.0
@AntonioFrench you know what would make an impact? If they all dressed professionally and marched. That would set them above the pack,0,gabebiggers,1407632468000.0
“@AntonioFrench: People marching to the #Ferguson Police Dept headquarters following the killing of a 17-yr-old boy. http://t.co/wYDqPyXaBS”,0,CaseyJAldridge,1407633246000.0
@AntonioFrench @sarahkendzior if I were there I'd march right with them.,0,javachik,1407634806000.0
@AntonioFrench I know @TheRevAl gonna jump right on this 1,0,GodIgetitnow,1407635878000.0
@AntonioFrench: People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/h0z1KYg8cc,0,Activist30,1407637320000.0
@AntonioFrench Thanks for Sharing that Tweet #MGW14 http://t.co/iRF74B93mg,0,MidWestGrkWknd,1407637443000.0
RT @AntonioFrench Ppl marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/F7wU0fU7CG,0,SeanBreeze,1407637509000.0
“@AntonioFrench: People marching to the #Ferguson Police Dept headquarters following the killing of a 17yearold boy. http://t.co/QD7v098IdN”,0,Sigalahumberto,1407638579000.0
“@AntonioFrench: Ppl marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/Mb5R4LUReE”,0,MsJaylaRae,1407640925000.0
@AntonioFrench What can out of towners do to support?,0,Prof_JJohnson,1407644012000.0
@AntonioFrench Whole police force needs to be placed on administrative leave without pay.,0,FancyStancy,1407645626000.0
Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguson,0,TonyGaskins,1407630273000.0
@TonyGaskins Absolutely Agree!!,0,edeweysmith,1407630880000.0
@TonyGaskins You hit the nail on the head!,0,rcriddick,1407631179000.0
@TonyGaskins and theybalso operate with stereotypes too :(,0,Gary4Freedom,1407632475000.0
@TonyGaskins: Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguson,0,iHearMusick,1407643000000.0
@TonyGaskins I agree with you!,0,ArchbishopYoung,1407649649000.0
"@TonyGaskins They join the PD in order to kill and jail African-Americans, and teenagers or children are easiest.",0,ocblues,1407649972000.0
@TonyGaskins Yes. Many fear not going home at night. Too much distrust on both sides,0,Estleton12,1407728065000.0
@TonyGaskins so what do our black kids who kill each other operate from...they kill way more than any white man.,0,MINISTERLEE50,1407744092000.0
“@TonyGaskins: Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguso,0,lennamat,1407757506000.0
