coordinates,created,favorite_count,has_url,hashtags_count,id,in_reply_id,in_reply_user,is_rumor,is_source_tweet,lang,mentions_count,retweet_count,retweeted,symbols_count,text,thread,tweet_length,urls_count,user.followers_count,user.friends_count,user.tweets_count
,Wed Oct 22 14:21:04 +0000 2014,0,False,0,524928426491535360,524928067249377280,,False,False,fr,4,0,False,0,@en_passant_la @StephBerthomet Je sais pas pour tout les médias mais @NRJ943Montreal et @tvanouvelles sont les experts du non-fondé.,524922078638903296,132,0,178,131,8047
,Wed Oct 22 14:21:44 +0000 2014,0,False,0,524928593361915904,524928191627280384,,False,False,fr,2,0,False,0,@StephBerthomet @en_passant_la Sauf que ça c'est retrouver partout bien avant d'être confirmé. Bien triste nouvelle au final.,524922078638903296,125,0,178,131,8047
,Wed Oct 22 14:22:11 +0000 2014,0,False,0,524928710265556992,524927971694743552,,False,False,fr,1,0,False,0,“@RenkoQC ... Auront ils moi s peur quand si c'est fondé ?,524922078638903296,58,0,54,97,1192
,Wed Oct 22 14:25:01 +0000 2014,0,False,0,524929422873600000,524928426491535360,,False,False,fr,2,0,False,0,“@RenkoQC  @StephBerthomet .. Si tu savais la pression qu'ils ont parfois d'amener de la viande à tout prix ! (Amener ou emener) Jhais ce mo,524922078638903296,140,0,54,97,1192
,Wed Oct 22 14:26:44 +0000 2014,0,False,0,524929853184016386,524929422873600000,,False,False,fr,2,0,False,0,@en_passant_la @StephBerthomet J'en doute pas et tant mieux ( journalistiquement parlant ) si l'événement rapporter était vrai mais 1/2,524922078638903296,135,0,178,131,8047
,Wed Oct 22 14:27:07 +0000 2014,0,False,0,524929950676443137,524929422873600000,,False,False,fr,2,0,False,0,@en_passant_la @StephBerthomet c'est trop souvent baser sur rien. Comme ce que TVA a rapporter à propos de la prière de la Ronde et qui,524922078638903296,135,0,178,131,8047
,Wed Oct 22 14:27:20 +0000 2014,0,False,0,524930003273011200,524929422873600000,,False,False,fr,2,0,False,0,@en_passant_la @StephBerthomet c'est avérer être un montage de toute pièce par un groupe haineux.,524922078638903296,97,0,178,131,8047
,Wed Oct 22 14:28:53 +0000 2014,0,False,0,524930396635795456,524929853184016386,,False,False,fr,3,0,False,0,“@RenkoQC: @en_passant_la @StephBerthomet J'en doute pas et tant.. Et ça mène à des distorsion !,524922078638903296,96,0,54,97,1192
,Wed Oct 22 14:31:02 +0000 2014,0,False,0,524930934056165376,524928191627280384,,False,False,fr,2,1,False,0,“@StephBerthomet: @RenkoQC Ça me rappelle au parlement de Québec 1984,524922078638903296,69,0,54,97,1192
,Wed Oct 22 15:01:48 +0000 2014,0,False,0,524938677043347457,524927971694743552,,False,False,fr,2,0,False,0,@RenkoQC @en_passant_la Et c'est justement pour ça que c'est du terrorisme.,524922078638903296,75,0,249,335,6012
,Wed Oct 22 15:02:42 +0000 2014,0,False,0,524938904596926464,524938677043347457,,False,False,fr,2,0,False,0,"@3strokes @en_passant_la Au sens large qu'on donne à ce terme, oui.",524922078638903296,67,0,178,131,8047
,Wed Oct 22 15:23:09 +0000 2014,0,False,0,524944051695783937,524928426491535360,,False,False,fr,3,0,False,0,"@RenkoQC @en_passant_la @StephBerthomet Si on en parle et qu'il ne se passe rien, tout à coup on est les experts du non-fondé, si on n'en",524922078638903296,137,0,7185,778,6377
,Wed Oct 22 15:23:40 +0000 2014,0,False,0,524944183032045568,524928426491535360,,False,False,fr,3,0,False,0,@RenkoQC @en_passant_la @StephBerthomet parle pas et que ça se passe réellement on est à côté de la track... c'est quoi TA formule à toi?,524922078638903296,137,0,7185,778,6377
,Wed Oct 22 15:24:15 +0000 2014,0,False,0,524944329983684609,524928426491535360,,False,False,fr,3,0,False,0,"@RenkoQC @en_passant_la @StephBerthomet c'est TELLEMENT facile de jouer les experts si t'as pas à le vivre toi-même au quotidien, buddy.",524922078638903296,136,0,7185,778,6377
,Wed Oct 22 15:24:26 +0000 2014,0,False,0,524944374581702657,524944183032045568,,False,False,fr,3,0,False,0,@tobiebh @en_passant_la @StephBerthomet Éviter le sensationnalisme et attiser la haine racial et y aller avec des faits ? 1/2,524922078638903296,125,0,178,131,8047
,Wed Oct 22 15:24:47 +0000 2014,0,False,0,524944461936467968,524944183032045568,,False,False,fr,3,0,False,0,@tobiebh @en_passant_la @StephBerthomet 2/2 va faire un tour sur la page NRJ de Facebook c'est commentaire raciste sur commentaire raciste.,524922078638903296,139,0,178,131,8048
,Wed Oct 22 15:25:46 +0000 2014,0,False,0,524944711266873345,524944461936467968,,False,False,fr,3,0,False,0,@RenkoQC @en_passant_la @StephBerthomet N'importe quel média qui a 100k+ sur sa page fb va finir par y voir arriver des commentaires,524922078638903296,132,0,7183,778,6377
,Wed Oct 22 15:25:59 +0000 2014,0,False,0,524944764907823104,524944329983684609,,False,False,fr,3,0,False,0,@tobiebh @en_passant_la @StephBerthomet expert ? Est-ce si dur de devoir attendre qu'un fait soit fonder ? Toujours vouloir le scoop. Buddy.,524922078638903296,140,0,178,131,8048
,Wed Oct 22 15:26:44 +0000 2014,0,False,0,524944953085263872,524944764907823104,,False,False,fr,3,0,False,0,@RenkoQC @en_passant_la @StephBerthomet De tous les temps tous les médias ont toujours utilisé le conditionnel tant que ça n'est pas con-,524922078638903296,137,0,7183,778,6377
,Wed Oct 22 15:27:13 +0000 2014,0,False,0,524945073323397120,524944764907823104,,False,False,fr,1,0,False,0,"@RenkoQC firmé. Si les gens ne font pas la distinction dans leurs temps de verbe, je vois pas ce qu'on peut faire.",524922078638903296,114,0,7183,778,6377
,Wed Oct 22 15:29:42 +0000 2014,0,False,0,524945699734290432,524945073323397120,,False,False,fr,1,0,False,0,"@tobiebh C'est encore une fois de vouloir le scoop. C'est probablement une question de rentabilité, je ne gère pas NRJ ni TVA. Je doute 1/2",524922078638903296,139,0,178,131,8048
,Wed Oct 22 15:29:47 +0000 2014,0,False,0,524945718969380864,524944764907823104,,False,False,fr,1,0,False,0,@RenkoQC J'ai fait le tour des principaux médias et je suis curieux de savoir quelle info fallacieuse on donne de plus? Hormis les com-,524922078638903296,135,0,7183,778,6377
,Wed Oct 22 15:30:23 +0000 2014,0,False,0,524945871499452417,524945699734290432,,False,False,fr,1,0,False,0,@RenkoQC mentaires auxquels tu fais allusion et sur lesquels on n'a ultimement aucun contrôle,524922078638903296,93,0,7183,778,6377
,Wed Oct 22 15:30:35 +0000 2014,0,False,0,524945922758049794,524945073323397120,,False,False,fr,1,0,False,0,"@tobiebh 2/2 que ma ""formule"" serait rentable mais aurait au moins l'intérêt de ne pas vouloir créer des mouvements de panique sv infondée.",524922078638903296,139,0,178,131,8048
,Wed Oct 22 15:31:04 +0000 2014,0,False,0,524946043340091392,524945699734290432,,False,False,fr,1,0,False,0,"@RenkoQC fais-moi une liste des informations erronées qui ont été communiquées par nous et pas par les autres stp.
Après on jasera",524922078638903296,130,0,7183,778,6377
,Wed Oct 22 15:31:05 +0000 2014,0,False,0,524946049035927552,524945073323397120,,False,False,fr,2,0,False,0,"@tobiebh @RenkoQC   Et voilà.... Et il faut arrêter de chercher des dieux à tout prix ! L,erreur est humaine et ils sont aussi humain !",524922078638903296,135,0,54,97,1192
,Wed Oct 22 15:31:42 +0000 2014,0,False,0,524946201314361344,524946043340091392,,False,False,fr,1,0,False,0,"@tobiebh Donc parce que tout le monde le fait, c'est correct ? C'est la norme ?",524922078638903296,79,0,178,131,8048
,Wed Oct 22 15:36:07 +0000 2014,0,False,0,524947314390343680,524946043340091392,,False,False,fr,1,0,False,0,"@tobiebh J'ai pas dit que vous étiez les pire, 130 caractère laisse pas assez de place pour citer toute la crap journalistique du QC.",524922078638903296,133,0,178,131,8048
,Wed Oct 22 15:51:15 +0000 2014,0,False,0,524951123535597568,524947314390343680,,False,False,fr,1,0,False,0,"@RenkoQC bien d'accord! Trop court pour expliquer un point comme l'autre. Mais tsé tu nous nommes, normal que je réponde ;)",524922078638903296,123,0,7182,778,6377
,Wed Oct 22 15:52:45 +0000 2014,0,False,0,524951498367963138,524951123535597568,,False,False,fr,1,0,False,0,"@tobiebh J'aurais du aussi faire une distinction entre votre radio et votre Facebook, mon propos aurait sûrement sembler moins agressif :/",524922078638903296,138,0,178,131,8048
,Wed Oct 22 16:03:47 +0000 2014,0,False,0,524954276389736449,524951498367963138,,False,False,fr,1,0,False,0,"@RenkoQC T'inquiète, dans la vie j'aime beaucoup argumenter. C'est jamais de la chicane mais plutôt de la simple opposition de points de",524922078638903296,136,0,7182,778,6377
,Wed Oct 22 13:57:31 +0000 2014,18,False,2,524922499466022913,,,False,True,en,0,165,False,0,Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http://t.co/mskjnJAlvE,524922499466022913,102,0,60089,296,38159
,Wed Oct 22 13:59:21 +0000 2014,0,False,0,524922962240344064,524922499466022913,,False,False,en,2,0,False,0,@CBCOttawa @CBCNews how horrible!!!,524922499466022913,35,0,849,2001,5794
,Wed Oct 22 14:00:20 +0000 2014,0,False,0,524923210220195840,524922499466022913,,False,False,en,2,0,False,0,@CBCOttawa @CBCNews What a unclassy photo. It could be your mom. booo Show some discretion.,524922499466022913,91,0,4379,4793,105447
,Wed Oct 22 14:01:18 +0000 2014,0,False,0,524923454169313281,524922962240344064,,False,False,en,3,0,False,0,“@LisaRachel123: @CBCOttawa @CBCNews how horrible!!!” Shit..!!,524922499466022913,62,0,207,389,3188
,Wed Oct 22 14:02:27 +0000 2014,0,False,0,524923742183776256,524922499466022913,,False,False,und,1,0,False,0,@CBCOttawa http://t.co/OSehwkVhvx,524922499466022913,33,0,191,1190,1533
,Wed Oct 22 14:04:29 +0000 2014,0,False,0,524924255712976896,524922499466022913,,False,False,en,2,0,False,0,@CBCOttawa @CBCNews shooting is horrible,524922499466022913,40,0,11,62,17
,Wed Oct 22 14:06:08 +0000 2014,0,False,0,524924668642623488,524922499466022913,,False,False,en,1,0,False,0,@CBCOttawa Did anybody manage to nail the shooter?,524922499466022913,50,0,72,132,789
,Wed Oct 22 14:09:17 +0000 2014,0,False,0,524925462053920768,524922499466022913,,False,False,en,2,0,False,0,@CBCOttawa @CBCNews Please contact CJAD Amanda Kline (514) 207-2173,524922499466022913,67,0,1,49,19
,Wed Oct 22 14:18:19 +0000 2014,0,False,0,524927734460743681,524923454169313281,,False,False,en,3,0,False,0,.@Marcusl230 @CBCOttawa @CBCNews Scary!!,524922499466022913,40,0,849,2001,5794
,Wed Oct 22 14:32:16 +0000 2014,0,False,0,524931244497199105,524922499466022913,,False,False,en,2,0,False,0,@CBCOttawa @CBCNews .... Terrible news to hear of a solider injured on Canadian soil - thoughts and prayers,524922499466022913,107,0,21,133,26
,Wed Oct 22 14:35:38 +0000 2014,0,False,5,524932094263566336,524922499466022913,,False,False,en,1,0,False,0,“@CBCOttawa:Passersby working on#shooting#victim From CBC's Jason Ho#cbcOTT #OTTnews http://t.co/rN2peA1siF” #Ontario #Canada #veteran #pray,524922499466022913,140,0,1191,1961,26897
,Wed Oct 22 14:49:10 +0000 2014,0,False,2,524935498150977536,524922499466022913,,False,False,en,2,0,False,0,“@CBCOttawa: Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http://t.co/QlR06BFyCD” @KayBurley,524922499466022913,127,0,39,122,4089
,Wed Oct 22 14:59:30 +0000 2014,0,False,0,524938098132934656,524922499466022913,,False,False,und,1,0,False,0,@CBCOttawa,524922499466022913,10,0,19,51,1873
,Wed Oct 22 15:01:16 +0000 2014,0,False,0,524938545916809216,524922499466022913,,False,False,und,1,0,False,0,@CBCOttawa,524922499466022913,10,0,12,20,2
,Wed Oct 22 15:08:41 +0000 2014,0,False,0,524940410754715649,524922499466022913,,False,False,en,1,0,False,0,@CBCOttawa God save the soldier!,524922499466022913,32,0,19,328,54
,Wed Oct 22 17:38:20 +0000 2014,0,False,0,524978070986690560,524922499466022913,,False,False,en,1,0,False,0,@CBCOttawa very sad. Makes me wonder where this world is coming to. Prayers to all involved.,524922499466022913,92,0,239,1350,5806
,Wed Oct 22 14:00:05 +0000 2014,30,False,0,524923148576518144,,,False,True,en,0,306,False,0,Shooting at the war memorial in Ottawa. http://t.co/1Z0p4Mj5Vw,524923148576518144,62,0,21413,461,5184
,Wed Oct 22 14:00:41 +0000 2014,0,False,0,524923299118080000,524923148576518144,,False,False,en,1,0,False,0,.@IvisonJ Is this a different one from the shooting at the Centre Block?,524923148576518144,72,0,2851,1996,7338
,Wed Oct 22 14:02:36 +0000 2014,6,False,0,524923781421490176,524923148576518144,,False,False,en,2,0,False,0,"@IvisonJ @shanedingman Quit posting photos that don't need to show. Use your head, not sensationalism in the name of privacy.",524923148576518144,125,0,4384,4794,105502
,Wed Oct 22 14:05:14 +0000 2014,4,False,0,524924443702087680,524923148576518144,,False,False,en,2,4,False,0,@IvisonJ @PoliticoVoice Arrest Islamists BEFORE they murder more Canadians.  Change the immigration policies that let them into the country!,524923148576518144,140,0,135,362,3184
,Wed Oct 22 14:05:51 +0000 2014,0,False,0,524924599570821121,524923148576518144,,False,False,en,2,0,False,0,@IvisonJ @MartinLahaie Is the man OK?  :(,524923148576518144,41,0,2933,2817,403139
,Wed Oct 22 14:05:58 +0000 2014,1,False,0,524924628528279553,524923148576518144,,False,False,en,1,2,False,0,"@IvisonJ This is a time of war, this is no joke.  Get real and fight for yourselves!  If you don't, no one else will!",524923148576518144,117,0,135,362,3184
,Wed Oct 22 14:06:33 +0000 2014,0,False,0,524924775245029376,524923148576518144,,False,False,en,2,0,False,0,@IvisonJ @nationalpost Please contact CJAD Amanda Kline (514) 207-2173,524923148576518144,70,0,1,49,19
,Wed Oct 22 14:06:35 +0000 2014,0,False,0,524924784166326272,524924443702087680,,False,False,en,3,0,False,0,"@ivoirien_com @IvisonJ @PoliticoVoice For the Canadian ones, give them back their passports and send them to Middle East forever.",524923148576518144,129,0,2933,2817,403139
,Wed Oct 22 14:07:08 +0000 2014,0,False,0,524924921051611136,524924599570821121,,False,False,en,2,1,False,0,@7PinkPanther7 @IvisonJ what I read no. Could be shot to death...,524923148576518144,65,0,533,799,24441
,Wed Oct 22 14:08:23 +0000 2014,0,False,0,524925236803031040,524924921051611136,,False,False,fr,2,0,False,0,@MartinLahaie @IvisonJ Il en aurait tiré 2 maintenant et serait au large...,524923148576518144,75,0,2933,2817,403140
,Wed Oct 22 14:09:56 +0000 2014,0,False,0,524925625090707456,524923148576518144,,False,False,en,2,0,False,0,@IvisonJ @nationalpost hope they recover,524923148576518144,40,0,32,59,2140
,Wed Oct 22 14:10:20 +0000 2014,1,False,0,524925726743859203,524923148576518144,,False,False,en,2,0,False,0,"@IvisonJ Hello I work at a London newspaper, The Independent (@independent) - can we use this image please?",524923148576518144,107,0,889,460,493
,Wed Oct 22 14:10:23 +0000 2014,0,False,0,524925739200942081,524923148576518144,,False,False,en,1,0,False,0,"@IvisonJ Hi John, could we use your pictures in the Independent online please?",524923148576518144,78,0,653,897,5817
,Wed Oct 22 14:11:09 +0000 2014,0,False,0,524925930176008192,524923148576518144,,False,False,en,2,0,False,0,.@IvisonJ @captainjuggy SHOOTING at the WAR MEMORIAL in Ottawa... Not the best words to use in this case... :p,524923148576518144,110,0,1173,1168,5954
,Wed Oct 22 14:13:35 +0000 2014,1,False,0,524926543223463936,524923148576518144,,False,False,en,1,0,False,0,"@IvisonJ John, Did you shoot this? Can The Canadian Press use this image? Please contact us 416-507-2169",524923148576518144,104,0,708,337,2278
,Wed Oct 22 14:14:12 +0000 2014,0,False,1,524926697586839552,524923148576518144,,False,False,en,5,0,False,0,"@IvisonJ @nationalpost very sad, another victim of #PTSD ? @rcmpgrcpolice @CanadianArmy @VeteransENG_CA need to do more",524923148576518144,119,0,470,1243,2732
,Wed Oct 22 14:14:55 +0000 2014,0,False,0,524926881863581696,524923148576518144,,False,False,en,1,0,False,0,"3x raden wie daar nu is ""@IvisonJ: Shooting at the war memorial in Ottawa. http://t.co/WK9XOoDiPk""",524923148576518144,98,0,127,279,12545
,Wed Oct 22 14:21:00 +0000 2014,0,False,0,524928411471724545,524923148576518144,,False,False,en,1,0,False,0,@IvisonJ Did you take this photo? Would the New York Daily News be able to use it with credit?,524923148576518144,94,0,451,550,746
,Wed Oct 22 22:07:12 +0000 2014,0,False,0,525045735247450114,524924443702087680,,False,False,en,3,0,False,0,@ivoirien_com @IvisonJ @PoliticoVoice Let us not forget we believe in the rule of law. Innocent until proven guilty.,524923148576518144,116,0,26,29,247
,Thu Oct 23 01:19:40 +0000 2014,0,True,0,525094168071503872,525045735247450114,,False,False,en,3,0,False,0,"@tuga_2 @IvisonJ @PoliticoVoice In EVERY war, traitors are HANGED by the neck until dead. Don't be an idiot. http://t.co/NUd4EXxrTY",524923148576518144,131,1,137,364,3195
,Thu Oct 23 01:22:23 +0000 2014,0,False,0,525094853802475520,525094168071503872,,False,False,en,3,0,False,0,@ivoirien_com @IvisonJ @PoliticoVoice I'm an idiot because I believe the founding principles of this nation like law and order and the BoR,524923148576518144,138,0,26,29,247
,Thu Oct 23 01:35:50 +0000 2014,0,False,0,525098237544628224,525094853802475520,,False,False,en,3,0,False,0,"@tuga_2 @IvisonJ @PoliticoVoice You're an idiot because you don't understand that traitors must always be hanged, in every war.",524923148576518144,127,0,137,364,3195
,Thu Oct 23 05:03:57 +0000 2014,1,False,0,525150611575406593,525098237544628224,,False,False,en,3,0,False,0,@ivoirien_com @IvisonJ @PoliticoVoice is that why you want preemptively arrest all islamists? Do you belive they are all traitors?,524923148576518144,130,0,26,29,247
,Wed Oct 22 14:01:06 +0000 2014,6090,False,2,524923403183333376,,,False,True,en,0,5814,False,0,After today we will officially be done shooting for the #SurrenderMusicVideo !! It's looking AMAZING so far btw! #cantwait,524923403183333376,122,0,1110815,42070,16442
,Wed Oct 22 14:02:13 +0000 2014,0,False,0,524923684222672896,524923403183333376,,False,False,et,1,0,False,0,ILY ❤️🙊@juliancamarena,524923403183333376,22,0,1656,1999,9971
,Wed Oct 22 14:02:45 +0000 2014,0,False,0,524923817538617344,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena how exciting! I can not wait to see it! 💙😉,524923403183333376,58,0,287,374,1248
,Wed Oct 22 14:02:51 +0000 2014,0,False,2,524923841307766784,524923403183333376,,False,False,en,1,0,False,0,"@juliancamarena #SurrenderMusicVideo #cantwait long time im not tweet u, I cant wait surrender MV.",524923403183333376,98,0,3943,1314,31016
,Wed Oct 22 14:29:03 +0000 2014,0,False,2,524930435583721472,524923403183333376,,False,False,en,1,0,False,0,"@juliancamarena I'm so looking forward to seeing, hearing this! #patients #sentTEXASstyle",524923403183333376,89,0,29,182,23
,Wed Oct 22 14:33:41 +0000 2014,0,True,0,524931601835515904,524923403183333376,,False,False,en,2,0,False,0,@juliancamarena @AniyahMchenry Please vote for Justin Bieber http://t.co/WEumSyaRQ6 thank u,524923403183333376,91,1,61,309,233
,Wed Oct 22 14:39:14 +0000 2014,0,False,0,524933001420242944,524923403183333376,,False,False,es,1,0,False,0,"@juliancamarena 
O:-)Hermoso vid muaaa",524923403183333376,38,0,6,8,4
,Wed Oct 22 14:49:42 +0000 2014,0,False,0,524935635082420224,524923403183333376,,False,False,en,2,0,False,0,@juliancamarena @PerlDobens soo cool for you...,524923403183333376,47,0,13,61,42
,Wed Oct 22 14:53:07 +0000 2014,0,False,0,524936493551218688,524923403183333376,,False,False,en,2,0,False,0,@juliancamarena @SadieHewitt13 hv a wonderful time,524923403183333376,50,0,2,19,9
,Wed Oct 22 15:07:30 +0000 2014,0,False,0,524940113399537664,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena u have an amazing voice I really enjoy ur music,524923403183333376,63,0,5,27,2
,Wed Oct 22 15:26:35 +0000 2014,0,False,0,524944913830408192,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena Nice one,524923403183333376,24,0,7,64,10
,Wed Oct 22 15:43:17 +0000 2014,0,False,0,524949118708228096,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena best of luck,524923403183333376,28,0,19,164,42
,Wed Oct 22 15:50:55 +0000 2014,0,False,0,524951037632081920,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena sorry... what was you telling me I deleted messages accident,524923403183333376,76,0,50,277,292
,Wed Oct 22 15:51:35 +0000 2014,0,False,0,524951207094534144,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena I can't wait to see it go get it tiger,524923403183333376,54,0,23,120,95
,Wed Oct 22 16:16:42 +0000 2014,0,False,0,524957525666713600,524923403183333376,,False,False,und,2,0,False,0,@juliancamarena @StellaBrenton,524923403183333376,30,0,6,116,9
,Wed Oct 22 17:33:32 +0000 2014,0,False,0,524976863664693248,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena PLEASE FOLLOW ME:IM NOT A HUGE FAN BUT U SO CUTE♡...plz follow..,524923403183333376,80,0,268,1191,244
,Wed Oct 22 17:56:18 +0000 2014,0,False,0,524982594417750016,524923403183333376,,False,False,en,1,0,False,0,@juliancamarena.verygood..kkk,524923403183333376,29,0,23,101,426
,Wed Oct 22 18:05:26 +0000 2014,0,False,0,524984893265432577,524923403183333376,,False,False,und,2,0,False,0,@juliancamarena @NataliaWhitsonf,524923403183333376,32,0,2,18,6
,Wed Oct 22 18:25:54 +0000 2014,0,False,0,524990042444685313,524923403183333376,,False,False,und,1,0,False,0,@juliancamarena ok,524923403183333376,18,0,10,48,32
,Wed Oct 22 18:54:15 +0000 2014,0,False,0,524997177660411904,524923403183333376,,False,False,cy,2,0,False,0,@juliancamarena @Faithgrubbs01 hi faith,524923403183333376,39,0,78,287,1305
,Wed Oct 22 14:06:06 +0000 2014,59,False,0,524924660480487424,,,False,True,en,0,168,False,0,"KEY: Nothing in Wilson's story in new autopsy says he feared for his life or life of another, which is only legal justification for shooting",524924660480487424,140,0,34165,247,14378
,Wed Oct 22 14:07:29 +0000 2014,0,False,0,524925009324560384,524924660480487424,,False,False,en,1,0,False,0,@LisaBloom it doesn't even say why Brown was stopped,524924660480487424,52,0,287,756,14219
,Wed Oct 22 14:09:17 +0000 2014,0,False,0,524925461546401794,524924660480487424,,False,False,en,1,0,False,0,"@LisaBloom Not only that, explain how a holstered side arm is fought for when the person w the gun is seated in a car, an SUV at that??",524924660480487424,135,0,180,215,9985
,Wed Oct 22 14:10:09 +0000 2014,0,False,0,524925681264627712,524924660480487424,,False,False,en,2,0,False,0,@LisaBloom @rolandsmartin oh please.,524924660480487424,36,0,4660,838,7706
