,favorite_count,is_rumor,retweet_count
0,691,False,3307
0,47,False,218
0,397,False,404
0,223,False,151
0,43,False,176
0,479,False,384
0,31,False,305
0,43,False,107
0,232,False,125
0,391,False,895
0,131,False,319
0,199,False,176
0,78,False,123
0,35,False,148
0,111,False,249
0,305,False,1786
0,232,False,1202
0,92,False,184
0,18,False,102
0,24,False,157
0,68,False,588
0,16,False,149
0,227,False,264
0,163,False,196
0,190,False,119
0,107,False,169
0,42,False,147
0,353,False,197
0,52,False,329
0,490,False,562
0,102,False,229
0,17,False,103
0,2538,False,3947
0,80,False,401
0,177,False,574
0,68,False,126
0,178,False,107
0,1368,False,892
0,350,False,187
0,220,False,677
0,156,False,109
0,45,False,117
0,64,False,191
0,260,False,228
0,51,False,141
0,22,False,110
0,291,False,434
0,24,False,108
0,78,False,120
0,90,False,293
0,81,False,404
0,34,False,235
0,60,False,116
0,375,False,165
0,170,False,405
0,379,False,458
0,37,False,164
0,118,False,175
0,268,False,254
0,668,False,703
0,368,False,162
0,2431,False,963
0,127,False,123
0,342,False,188
0,113,False,103
0,18,False,129
0,35,False,112
0,93,False,567
0,171,False,535
0,84,False,168
0,27,False,110
0,31,False,106
0,20,False,131
0,1761,False,1487
0,63,False,257
0,88,False,104
0,449,False,240
0,95,False,209
0,2540,False,1569
0,42,False,175
0,313,False,312
0,185,False,219
0,119,False,195
0,150,False,150
0,16,False,148
0,13,False,152
0,142,False,112
0,32,False,166
0,37,False,127
0,480,False,224
0,105,False,145
0,112,False,133
0,17,False,102
0,5,False,1014
0,313,False,204
0,900,False,249
0,107,False,109
0,100,False,232
0,32,False,201
0,184,False,126
0,40,False,120
0,1513,False,900
0,142,False,201
0,47,False,152
0,10,False,176
0,98,False,165
0,238,False,102
0,1815,False,1405
0,182,False,308
0,79,False,110
0,24,False,149
0,26,False,113
0,2574,False,2739
0,1004,False,896
0,31,False,144
0,201,False,111
0,236,False,126
0,45,False,127
0,31,False,116
0,502,False,355
0,305,False,231
0,90,False,113
0,14,False,686
0,694,False,550
0,16,False,166
0,71,False,3622
0,253,False,680
0,103,False,104
0,54,False,170
0,239,False,455
0,54,False,154
0,1138,False,500
0,204,False,201
0,451,False,517
0,25,False,104
0,313,False,191
0,16,False,113
0,48,False,367
0,108,False,122
0,47,False,127
0,16,False,118
0,333,False,349
0,76,False,411
0,55,False,451
0,165,False,821
0,45,False,139
0,212,False,239
0,160,False,115
0,1397,False,1972
0,247,False,224
0,42,False,101
0,145,False,104
0,54,False,105
0,758,False,552
0,118,False,139
0,285,False,209
0,19,False,102
0,208,False,133
0,82,False,138
0,70,False,137
0,288,False,167
0,305,False,188
0,72,False,265
0,339,False,152
0,821,False,617
0,32,False,146
0,274,False,160
0,69,False,239
0,37,False,121
0,33,False,155
0,51,False,133
0,98,False,368
0,97,False,170
0,98,False,112
0,51,False,145
0,64,False,160
0,223,False,164
0,1274,False,2152
0,25,False,139
0,320,False,178
0,64,False,171
0,379,False,393
0,223,False,180
0,229,False,138
0,87,False,232
0,210,False,526
0,15,False,151
0,154,False,434
0,126,False,154
0,85,False,101
0,76,False,552
0,184,False,122
0,269,False,412
0,333,False,514
0,78,False,138
0,92,False,306
0,179,False,232
0,263,False,440
0,118,False,346
0,45,False,136
0,126,False,339
0,728,False,891
0,83,False,123
0,128,False,113
0,91,False,248
0,243,False,191
0,142,False,112
0,106,False,245
0,356,False,198
0,71,False,124
0,143,False,183
0,65,False,173
0,231,False,361
0,55,False,197
0,761,False,712
0,1468,False,793
0,91,False,146
0,123,False,246
0,337,False,661
0,147,False,128
0,33,False,281
0,340,False,258
0,121,False,107
0,51,False,131
0,285,False,263
0,39,False,104
0,306,False,235
0,773,False,472
0,1347,False,1281
0,26,False,113
0,50,False,161
0,129,False,110
0,201,False,282
0,125,False,153
0,110,False,206
0,26,False,102
0,61,False,102
0,674,False,565
0,112,False,172
0,1332,False,1241
0,66,False,128
0,272,False,127
0,57,False,104
0,82,False,108
0,65,False,101
0,86,False,243
0,131,False,135
0,175,False,111
0,49,False,109
0,25,False,100
0,447,False,401
0,153,False,143
0,207,False,315
0,224,False,147
0,98,False,259
0,145,False,366
0,327,False,231
0,2,False,115
0,650,False,514
0,84,False,102
0,21,False,136
0,80,False,172
0,1758,False,1093
0,597,False,772
0,26,False,107
0,60,False,130
0,106,False,117
0,390,False,532
0,106,False,169
0,176,False,113
0,197,False,244
0,152,False,107
0,106,False,200
0,172,False,204
0,83,False,169
0,126,False,112
0,159,False,140
0,63,False,105
0,75,False,114
0,23,False,248
0,10,False,105
0,80,False,667
0,37,False,431
0,20,False,168
0,53,False,291
0,8,False,193
0,41,False,391
0,22,False,218
0,25,False,242
0,148,False,594
0,20,False,183
0,12,False,184
0,8,False,120
0,28,False,271
0,50,False,681
0,80,False,565
0,16,False,243
0,66,False,837
0,13,False,155
0,8,False,103
0,17,False,135
0,144,False,806
0,7,False,138
0,209,False,1033
0,13,False,121
0,36,False,394
0,24,False,115
0,279,False,937
0,108,False,623
0,15,False,209
0,30,False,293
0,50,False,381
0,116,False,137
0,56,False,488
0,16,False,234
0,45,False,268
0,15,False,155
0,81,False,316
0,40,False,177
0,10,False,113
0,34,False,208
0,22,False,145
0,21,False,214
0,21,False,148
0,21,False,171
0,21,False,169
0,11,False,201
0,8,False,101
0,144,False,694
0,20,False,102
0,14,False,110
0,30,False,238
0,69,False,561
0,331,False,225
0,238,False,1114
0,33,False,130
0,76,False,389
0,160,False,448
0,18,False,119
0,160,False,244
0,194,False,772
0,60,False,452
0,35,False,246
0,15,False,115
0,49,False,181
0,11,False,116
0,5,False,105
0,16,False,109
0,18,False,107
0,40,False,163
0,32,False,150
0,33,False,116
0,10,False,138
0,61,False,211
0,9,False,157
0,32,False,105
0,194,False,1665
0,255,False,828
0,54,False,173
0,70,False,590
0,20,False,214
0,30,False,266
0,118,False,506
0,47,False,173
0,50,False,146
0,16,False,138
0,49,False,149
0,28,False,208
0,11,False,100
0,43,False,485
0,46,False,295
0,80,False,139
0,52,False,374
0,14,False,214
0,111,False,456
0,82,False,326
0,83,False,276
0,24,False,100
0,79,False,466
0,25,False,122
0,144,False,814
0,16,False,170
0,8,False,180
0,100,False,1022
0,26,False,103
0,7,False,101
0,34,False,149
0,17,False,130
0,233,False,205
0,14,False,105
0,59,False,141
0,126,False,415
0,129,False,930
0,15,False,132
0,45,False,158
0,8,False,124
0,56,False,203
0,53,False,355
0,130,False,976
0,27,False,152
0,58,False,384
0,33,False,196
0,357,False,1259
0,63,False,210
0,16,False,110
0,75,False,122
0,38,False,281
0,45,False,198
0,74,False,202
0,57,False,287
0,69,False,185
0,139,False,606
0,48,False,320
0,16,False,137
0,18,False,251
0,101,False,237
0,122,False,327
0,325,False,207
0,6,False,112
0,10,False,187
0,250,False,1030
0,23,False,145
0,108,False,240
0,52,False,282
0,60,False,403
0,137,False,543
0,29,False,104
0,19,False,122
0,19,False,136
0,19,False,149
0,10,False,177
0,35,False,189
0,33,False,251
0,16,False,203
0,41,False,128
0,53,False,721
0,12,False,143
0,1,False,635
0,172,False,616
0,42,False,306
0,73,False,237
0,163,False,1040
0,50,False,165
0,23,False,217
0,29,False,117
0,11,False,126
0,20,False,244
0,50,False,268
0,79,False,110
0,16,False,133
0,15,False,127
0,78,False,426
0,132,False,350
0,122,False,293
0,23,False,302
0,141,False,1155
0,102,False,270
0,266,False,1691
0,26,False,143
0,59,False,140
0,27,False,114
0,31,False,161
0,69,False,105
0,130,False,407
0,312,False,1054
0,104,False,622
0,91,False,437
0,41,False,154
0,46,False,265
0,28,False,135
0,108,False,852
0,20,False,106
0,25,False,105
0,70,False,618
0,46,False,112
0,23,False,123
0,36,False,184
0,18,False,126
0,50,False,333
0,107,False,142
0,31,False,189
0,37,False,128
0,134,False,686
0,16,False,132
0,360,False,1449
0,170,False,723
0,54,False,255
0,48,False,127
0,14,False,109
0,55,False,216
0,39,False,159
0,27,False,167
0,22,False,220
0,62,False,364
0,12,False,127
0,251,False,719
0,11,False,121
0,204,False,678
0,181,False,407
0,22,False,123
0,24,False,147
0,21,False,111
0,39,False,165
0,45,False,116
0,145,False,847
0,45,False,241
0,169,False,392
0,30,False,180
0,90,False,245
0,769,False,1315
0,40,False,204
0,32,False,191
0,1221,False,1970
0,118,False,721
0,39,False,135
0,146,False,1244
0,89,False,223
0,35,False,288
0,68,False,164
0,24,False,128
0,27,False,127
0,18,False,153
0,9,False,110
0,23,False,129
0,38,False,128
0,43,False,430
0,65,False,382
0,46,False,180
0,38,False,193
0,46,False,315
0,49,False,186
0,18,False,101
0,40,False,181
0,247,False,414
0,154,False,791
0,83,False,841
0,44,False,111
0,39,False,161
0,158,False,140
0,53,False,385
0,19,False,111
0,56,False,162
0,88,False,568
0,380,False,198
0,160,False,345
0,49,False,142
0,34,False,124
0,20,False,144
0,14,False,109
0,110,False,912
0,66,False,405
0,88,False,273
0,701,False,1030
0,100,False,611
0,91,False,130
0,77,False,222
0,146,False,405
0,144,False,360
0,51,False,120
0,127,False,380
0,93,False,122
0,52,False,193
0,201,False,730
0,75,False,145
0,72,False,386
0,420,False,1379
0,36,False,136
0,22,False,113
0,34,False,118
0,23,False,125
0,39,False,204
0,67,False,145
0,23,False,121
0,120,False,173
0,276,False,329
0,180,False,603
0,31,False,110
0,69,False,210
0,36,False,106
0,50,False,101
0,65,False,219
0,92,False,171
0,35,False,173
0,67,False,502
0,72,False,457
0,802,False,2200
0,153,False,156
0,43,False,227
0,22,False,111
0,29,False,181
0,69,False,396
0,18,False,111
0,27,False,100
0,34,False,186
0,84,False,268
0,48,False,101
0,201,False,502
0,172,False,743
0,61,False,115
0,230,False,878
0,74,False,219
0,23,False,135
0,153,False,228
0,88,False,173
0,32,False,130
0,54,False,256
0,30,False,148
0,70,False,273
0,253,False,458
0,79,False,355
0,394,False,431
0,28,False,109
0,33,False,127
0,89,False,228
0,95,False,141
0,194,False,159
0,94,False,106
0,82,False,133
0,37,False,159
0,50,False,145
0,106,False,384
0,64,False,123
0,142,False,183
0,187,False,349
0,533,False,597
0,29,False,118
0,68,False,123
0,113,False,127
0,207,False,211
0,215,False,344
0,66,False,155
0,77,False,113
0,85,False,571
0,136,False,763
0,21,False,131
0,224,False,1123
0,2008,False,4955
0,19,False,110
0,67,False,127
0,90,False,163
0,224,False,390
0,81,False,143
0,50,False,122
0,97,False,447
0,58,False,151
0,38,False,111
0,35,False,180
0,152,False,406
0,178,False,324
0,54,False,272
0,85,False,512
0,775,False,1881
0,55,False,206
0,36,False,119
0,29,False,148
0,54,False,148
0,95,False,178
0,69,False,126
0,32,False,160
0,414,False,1232
0,27,False,126
0,34,False,126
0,461,False,478
0,303,False,233
0,37,False,100
0,94,False,298
0,184,False,432
0,200,False,237
0,120,False,304
0,428,False,849
0,54,False,134
0,35,False,139
0,75,False,112
0,91,False,127
0,101,False,197
0,144,False,355
0,65,False,145
0,105,False,123
0,77,False,176
0,46,False,127
0,15,False,121
0,25,False,129
0,19,False,121
0,161,False,481
0,47,False,224
0,36,False,103
0,77,False,355
0,172,False,208
0,76,False,125
0,53,False,149
0,255,False,378
0,199,False,238
0,75,False,271
0,82,False,199
0,369,False,517
0,166,False,326
0,628,False,782
0,141,False,259
0,14,False,106
0,25,False,153
0,93,False,218
0,160,False,223
0,89,False,102
0,43,False,117
0,138,False,249
0,414,False,642
0,31,False,152
0,145,False,342
0,96,False,267
0,204,False,349
0,50,False,101
0,95,False,176
0,140,False,124
0,51,False,220
0,717,False,737
0,130,False,314
0,349,False,250
0,87,False,220
0,656,False,989
0,97,False,187
0,332,False,1449
0,138,False,443
0,126,False,142
0,38,False,164
0,79,False,135
0,206,False,304
0,479,False,367
0,416,False,1082
0,110,False,167
0,59,False,100
0,53,False,103
0,92,False,130
0,110,False,154
0,351,False,248
0,212,False,209
0,232,False,374
0,128,False,160
0,23,False,170
0,137,False,177
0,104,False,162
0,64,False,157
0,1180,False,884
0,125,False,190
0,120,False,107
0,85,False,105
0,185,False,303
0,96,False,112
0,28,False,129
0,208,False,634
